,0
0,2
1,2
2,2
3,2
4,2
5,0
6,2
7,2
8,2
9,2
10,0
11,0
12,2
13,0
14,2
15,0
16,2
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,2
25,0
26,2
27,2
28,2
29,0
30,0
31,0
32,1
33,2
34,2
35,2
36,2
37,2
38,2
39,0
40,2
41,0
42,2
43,0
44,2
45,2
46,2
47,2
48,2
49,0
50,2
51,2
52,2
53,0
54,2
55,2
56,2
57,2
58,0
59,2
60,2
61,0
62,2
63,2
64,0
65,2
66,0
67,2
68,0
69,0
70,0
71,2
72,0
73,0
74,2
75,2
76,2
77,2
78,0
79,0
80,0
81,2
82,2
83,0
84,2
85,0
86,0
87,2
88,0
89,0
90,0
91,2
92,2
93,0
94,0
95,0
96,2
97,2
98,2
99,5
100,2
101,2
102,0
103,2
104,0
105,0
106,2
107,2
108,3
109,5
110,0
111,2
112,2
113,2
114,0
115,0
116,0
117,2
118,0
119,2
120,0
121,0
122,2
123,0
124,2
125,2
126,0
127,2
128,0
129,0
130,2
131,2
132,2
133,0
134,2
135,2
136,2
137,0
138,0
139,0
140,2
141,0
142,2
143,0
144,2
145,2
146,2
147,0
148,0
149,0
150,2
151,0
152,0
153,2
154,2
155,0
156,0
157,0
158,2
159,0
160,0
161,2
162,2
163,0
164,2
165,2
166,0
167,2
168,0
169,2
170,5
171,2
172,2
173,0
174,2
175,2
176,2
177,2
178,2
179,2
180,0
181,2
182,2
183,2
184,2
185,2
186,0
187,2
188,0
189,2
190,2
191,2
192,0
193,0
194,2
195,2
196,2
197,2
198,2
199,0
200,2
201,2
202,2
203,2
204,0
205,0
206,0
207,0
208,2
209,0
210,2
211,2
212,0
213,0
214,0
215,2
216,0
217,2
218,5
219,0
220,2
221,0
222,2
223,2
224,0
225,0
226,2
227,2
228,2
229,0
230,0
231,0
232,2
233,0
234,2
235,2
236,0
237,0
238,2
239,0
240,0
241,0
242,2
243,0
244,0
245,2
246,0
247,2
248,0
249,0
250,0
251,0
252,0
253,0
254,2
255,2
256,0
257,0
258,2
259,0
260,2
261,0
262,2
263,2
264,0
265,2
266,2
267,0
268,2
269,5
270,2
271,2
272,2
273,2
274,0
275,0
276,0
277,0
278,0
279,2
280,0
281,0
282,2
283,0
284,0
285,2
286,0
287,0
288,2
289,2
290,0
291,0
292,2
293,5
294,2
295,0
296,2
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,2
309,2
310,0
311,2
312,0
313,0
314,0
315,0
316,2
317,0
318,0
319,2
320,0
321,2
322,2
323,2
324,2
325,2
326,0
327,0
328,0
329,0
330,2
331,0
332,2
333,0
334,0
335,0
336,0
337,2
338,2
339,2
340,0
341,0
342,0
343,2
344,0
345,0
346,0
347,0
348,2
349,2
350,0
351,0
352,2
353,0
354,0
355,2
356,0
357,0
358,0
359,0
360,2
361,2
362,0
363,2
364,0
365,2
366,2
367,0
368,2
369,0
370,2
371,2
372,0
373,0
374,0
375,0
376,2
377,0
378,2
379,2
380,0
381,0
382,2
383,0
384,2
385,0
386,0
387,0
388,2
389,2
390,2
391,0
392,2
393,2
394,0
395,0
396,2
397,0
398,2
399,2
400,0
401,0
402,0
403,0
404,0
405,2
406,0
407,0
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,0
417,2
418,2
419,2
420,2
421,2
422,0
423,2
424,2
425,2
426,2
427,2
428,0
429,2
430,0
431,2
432,0
433,2
434,0
435,2
436,2
437,2
438,2
439,0
440,2
441,0
442,0
443,2
444,2
445,2
446,2
447,2
448,0
449,0
450,0
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,0
465,2
466,2
467,2
468,0
469,0
470,2
471,6
472,0
473,2
474,0
475,2
476,0
477,2
478,2
479,2
480,2
481,2
482,0
483,2
484,2
485,2
486,2
487,2
488,0
489,0
490,2
491,0
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,0
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,2
513,2
514,0
515,2
516,2
517,2
518,2
519,0
520,2
521,2
522,0
523,0
524,2
525,2
526,2
527,2
528,2
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,0
537,0
538,2
539,2
540,2
541,2
542,2
543,2
544,2
545,2
546,0
