,0
0,0
1,0
2,0
3,0
4,0
5,1
6,-1
7,2
8,0
9,0
10,2
11,2
12,2
13,2
14,2
15,-1
16,2
17,2
18,1
19,2
20,2
21,2
22,-1
23,2
24,2
25,2
26,0
27,0
28,-1
29,2
30,2
31,2
32,-1
33,0
34,0
35,-1
36,2
37,2
38,2
39,2
40,6
41,-1
42,0
43,2
44,2
45,-1
46,0
47,2
48,0
49,2
50,2
51,0
52,0
53,2
54,0
55,0
56,0
57,5
58,2
59,0
60,-1
61,2
62,3
63,0
64,-1
65,0
66,2
67,6
68,2
69,2
70,2
71,0
72,2
73,2
74,-1
75,-1
76,3
77,0
78,2
79,2
80,2
81,6
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,0
92,2
93,2
94,2
95,2
96,-1
97,2
98,-1
99,4
100,-1
101,-1
102,2
103,6
104,2
105,-1
106,0
107,2
108,-1
109,4
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,-1
119,2
120,2
121,2
122,3
123,2
124,6
125,0
126,2
127,2
128,2
129,2
130,0
131,-1
132,0
133,2
134,2
135,0
136,0
137,2
138,2
139,2
140,-1
141,2
142,2
143,2
144,2
145,6
146,-1
147,2
148,2
149,2
150,6
151,2
152,2
153,2
154,0
155,2
156,2
157,2
158,2
159,2
160,-1
161,2
162,-1
163,2
164,-1
165,0
166,2
167,0
168,2
169,0
170,4
171,0
172,0
173,2
174,0
175,2
176,2
177,0
178,-1
179,-1
180,-1
181,-1
182,6
183,-1
184,0
185,2
186,2
187,0
188,2
189,2
190,2
191,2
192,-1
193,-1
194,0
195,0
196,0
197,3
198,0
199,2
200,0
201,0
202,2
203,5
204,2
205,2
206,-1
207,2
208,2
209,2
210,-1
211,3
212,2
213,2
214,2
215,-1
216,2
217,2
218,4
219,-1
220,-1
221,2
222,-1
223,2
224,-1
225,2
226,-1
227,0
228,0
229,2
230,2
231,-1
232,0
233,-1
234,-1
235,-1
236,2
237,-1
238,6
239,2
240,2
241,2
242,-1
243,2
244,2
245,2
246,2
247,2
248,2
249,-1
250,2
251,2
252,2
253,2
254,2
255,2
256,-1
257,2
258,0
259,2
260,0
261,2
262,2
263,-1
264,2
265,6
266,-1
267,2
268,-1
269,4
270,0
271,0
272,2
273,0
274,2
275,2
276,-1
277,2
278,2
279,3
280,2
281,2
282,2
283,2
284,-1
285,0
286,2
287,2
288,2
289,3
290,2
291,2
292,2
293,4
294,0
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,-1
304,2
305,2
306,2
307,2
308,-1
309,2
310,2
311,0
312,2
313,2
314,2
315,-1
316,2
317,2
318,-1
319,0
320,2
321,2
322,0
323,2
324,0
325,2
326,2
327,2
328,-1
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,-1
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,-1
348,-1
349,2
350,2
351,2
352,0
353,2
354,2
355,0
356,2
357,2
358,2
359,-1
360,-1
361,-1
362,2
363,2
364,2
365,-1
366,2
367,2
368,-1
369,2
370,2
371,-1
372,-1
373,2
374,2
375,2
376,2
377,2
378,-1
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,0
390,2
391,-1
392,2
393,2
394,2
395,2
396,-1
397,2
398,2
399,2
400,-1
401,2
402,2
403,2
404,-1
405,-1
406,2
407,2
408,2
409,-1
410,-1
411,-1
412,2
413,2
414,0
415,-1
416,2
417,5
418,0
419,0
420,0
421,0
422,2
423,0
424,2
425,-1
426,0
427,0
428,2
429,2
430,2
431,6
432,2
433,-1
434,2
435,2
436,-1
437,2
438,-1
439,2
440,-1
441,2
442,2
443,-1
444,0
445,2
446,-1
447,3
448,2
449,2
450,2
451,-1
452,0
453,-1
454,2
455,-1
456,2
457,-1
458,2
459,2
460,2
461,2
462,-1
463,-1
464,2
465,-1
466,2
467,2
468,2
469,2
470,0
471,-1
472,2
473,0
474,2
475,-1
476,2
477,-1
478,-1
479,-1
480,-1
481,0
482,2
483,2
484,-1
485,-1
486,0
487,-1
488,-1
489,2
490,2
491,2
492,2
493,2
494,0
495,0
496,2
497,-1
498,3
499,5
500,1
501,0
502,2
503,2
504,0
505,2
506,0
